frequency_hz,rms_input,rms_output
369.23,11607.166016562462,11549.25928906067
738.46,11542.798549540741,11286.04508962956
1107.69,11606.20866683717,10915.882629432466
1476.92,11511.596261649513,10628.815215281382
1846.15,11666.75465495088,9734.799156177343
2215.38,11521.769069766942,9319.90004238243
2584.62,11659.600410374387,8492.443005703848
2953.85,11534.321295297652,7539.495526500274
3323.08,11327.689509935632,6929.014123760517
3692.31,11654.799036547045,5950.646812309439
4061.54,11336.00873064602,5255.808238741615
4430.77,11645.984454553916,4336.0298661333045
4800.0,11345.805955701218,3512.315479894002
5169.23,11635.755109881084,2848.5586254146574
5538.46,11356.987310848195,2165.519120351067
5907.69,11624.203173321452,1658.7031261217483
6276.92,11369.445189475598,1218.7241341466554
6646.15,11611.432849101628,841.1060359053213
7015.38,11383.059715718278,566.4601673658274
7384.62,11597.545472331072,343.9728671470082
7753.85,11397.694712620458,189.8991758004678
8123.08,11582.695821502866,90.20918450854641
8492.31,11413.224094851168,29.139164522870402
8861.54,11567.00425297162,1.9384467383902395
9230.77,11429.49063938949,14.483009899795544
9600.0,11550.614148848324,16.50803293900129
9969.23,11446.33986031526,14.386441428292716
10338.46,11533.675865656338,11.775681155103795
10707.69,11463.612380094399,10.991732430248737
11076.92,11516.34543560948,12.605914917573056
11446.15,11481.14550936396,15.108697073961318
11815.38,11498.783192017983,18.501433195918374
12184.62,11498.78319201798,20.65444408852634
12553.85,11481.145509363956,20.08693228158169
12923.08,11516.34543560947,17.362446413295146
13292.31,11463.6123800944,11.234416816734246
13661.54,11533.675865656325,3.113995776646092
14030.77,11446.339860315256,6.201172909582949
14400.0,11550.614148848306,14.551892514637942
14769.23,11429.490639389487,21.587735013898588
15138.46,11567.004252971605,24.76801456424284
15507.69,11413.224094851179,24.24621182533032
15876.92,11582.69582150286,20.707193889754326
16246.15,11397.694712620452,13.200091827045153
16615.38,11597.54547233108,3.8376128944009875
16984.62,11383.059715718264,6.6400985753909625
17353.85,11611.432849101599,15.522222583747276
17723.08,11369.44518947562,22.295535631397357
18092.31,11624.203173321437,25.259861560598587
18461.54,11356.987310848186,24.008836756999337
18830.77,11635.755109881089,19.764522853748925
19200.0,11345.805955701207,11.411052590016453
19569.23,11645.984454553907,2.0150945537631877
19938.46,11336.008730646021,8.34665601703261
20307.69,11654.799036547061,17.035613320691485
20676.92,11327.689509935604,23.65663466421975
21046.15,11662.119291062356,25.618411939521746
21415.38,11320.926585865782,23.185680011070573
21784.62,11667.90735730141,18.793938416737486
22153.85,11315.87209002,10.03176772240883
22523.08,11672.062250840601,0.7587869106393281
22892.31,11312.432198783765,10.437403601441977
23261.54,11674.5700826472,18.396310565552064
23630.77,11310.703792748387,28.848086959313633
