Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_130_495,VPWR,li1,233.9100,367.2000,1.799505
FILLER_130_492,VPWR,li1,232.5300,367.2000,1.799493
FILLER_130_489,VPWR,li1,231.1500,367.2000,1.799493
FILLER_130_486,VPWR,li1,229.7700,367.2000,1.799481
FILLER_130_483,VPWR,li1,228.3900,367.2000,1.799481
FILLER_130_480,VPWR,li1,227.0100,367.2000,1.799470
FILLER_130_477,VPWR,li1,225.6300,367.2000,1.799470
FILLER_130_457,VPWR,li1,215.9700,367.2000,1.799462
FILLER_130_449,VPWR,li1,212.5200,367.2000,1.799475
FILLER_130_421,VPWR,li1,199.4100,367.2000,1.799596
FILLER_130_419,VPWR,li1,198.4900,367.2000,1.799596
FILLER_130_393,VPWR,li1,186.7600,367.2000,1.799722
FILLER_130_380,VPWR,li1,180.5500,367.2000,1.799793
FILLER_130_377,VPWR,li1,179.6300,367.2000,1.799793
FILLER_130_368,VPWR,li1,175.2600,367.2000,1.799846
FILLER_130_365,VPWR,li1,174.1100,367.2000,1.799842
FILLER_130_361,VPWR,li1,172.2700,367.2000,1.799836
FILLER_130_358,VPWR,li1,170.8900,367.2000,1.799836
FILLER_130_355,VPWR,li1,169.5100,367.2000,1.799830
FILLER_130_352,VPWR,li1,168.1300,367.2000,1.799830
FILLER_130_349,VPWR,li1,166.7500,367.2000,1.799824
FILLER_130_346,VPWR,li1,165.3700,367.2000,1.799824
FILLER_130_343,VPWR,li1,163.9900,367.2000,1.799817
FILLER_130_340,VPWR,li1,162.6100,367.2000,1.799817
FILLER_130_337,VPWR,li1,161.2300,367.2000,1.799812
FILLER_130_333,VPWR,li1,159.3900,367.2000,1.799807
FILLER_130_330,VPWR,li1,158.0100,367.2000,1.799807
FILLER_130_327,VPWR,li1,156.6300,367.2000,1.799801
FILLER_130_324,VPWR,li1,155.2500,367.2000,1.799801
FILLER_130_321,VPWR,li1,153.8700,367.2000,1.799794
FILLER_130_318,VPWR,li1,152.4900,367.2000,1.799794
FILLER_130_315,VPWR,li1,151.1100,367.2000,1.799788
FILLER_130_312,VPWR,li1,149.7300,367.2000,1.799788
FILLER_130_309,VPWR,li1,148.3500,367.2000,1.799781
FILLER_130_306,VPWR,li1,146.7400,367.2000,1.799781
FILLER_130_303,VPWR,li1,145.5900,367.2000,1.799775
FILLER_130_300,VPWR,li1,144.2100,367.2000,1.799775
FILLER_130_297,VPWR,li1,142.8300,367.2000,1.799769
FILLER_130_294,VPWR,li1,141.4500,367.2000,1.799769
FILLER_130_277,VPWR,li1,133.6300,367.2000,1.799771
FILLER_130_274,VPWR,li1,132.2500,367.2000,1.799771
FILLER_130_271,VPWR,li1,130.8700,367.2000,1.799776
FILLER_130_268,VPWR,li1,129.4900,367.2000,1.799776
FILLER_130_265,VPWR,li1,128.1100,367.2000,1.799782
FILLER_130_262,VPWR,li1,126.7300,367.2000,1.799782
FILLER_130_259,VPWR,li1,125.3500,367.2000,1.799787
FILLER_130_256,VPWR,li1,123.9700,367.2000,1.799787
FILLER_130_253,VPWR,li1,122.5900,367.2000,1.799791
FILLER_130_249,VPWR,li1,120.7500,367.2000,1.799796
FILLER_130_246,VPWR,li1,119.3700,367.2000,1.799796
FILLER_130_243,VPWR,li1,117.9900,367.2000,1.799801
FILLER_130_240,VPWR,li1,116.6100,367.2000,1.799801
FILLER_130_237,VPWR,li1,115.2300,367.2000,1.799806
FILLER_130_234,VPWR,li1,113.8500,367.2000,1.799806
FILLER_130_231,VPWR,li1,112.4700,367.2000,1.799811
FILLER_130_228,VPWR,li1,111.0900,367.2000,1.799811
FILLER_130_225,VPWR,li1,109.7100,367.2000,1.799816
FILLER_130_221,VPWR,li1,107.8700,367.2000,1.799820
FILLER_130_218,VPWR,li1,106.4900,367.2000,1.799820
FILLER_130_215,VPWR,li1,105.1100,367.2000,1.799825
FILLER_130_212,VPWR,li1,103.7300,367.2000,1.799825
FILLER_130_209,VPWR,li1,102.3500,367.2000,1.799831
FILLER_130_206,VPWR,li1,100.9700,367.2000,1.799831
FILLER_130_203,VPWR,li1,99.5900,367.2000,1.799836
FILLER_130_200,VPWR,li1,98.2100,367.2000,1.799836
FILLER_130_197,VPWR,li1,96.8300,367.2000,1.799840
FILLER_130_193,VPWR,li1,94.9900,367.2000,1.799845
FILLER_130_190,VPWR,li1,93.6100,367.2000,1.799845
FILLER_130_187,VPWR,li1,92.2300,367.2000,1.799850
FILLER_130_184,VPWR,li1,90.8500,367.2000,1.799850
FILLER_130_181,VPWR,li1,89.4700,367.2000,1.799855
FILLER_130_178,VPWR,li1,88.0900,367.2000,1.799855
FILLER_130_175,VPWR,li1,86.7100,367.2000,1.799860
FILLER_130_172,VPWR,li1,85.3300,367.2000,1.799860
FILLER_130_169,VPWR,li1,83.9500,367.2000,1.799865
FILLER_130_165,VPWR,li1,82.1100,367.2000,1.799869
FILLER_130_162,VPWR,li1,80.7300,367.2000,1.799869
FILLER_130_159,VPWR,li1,79.3500,367.2000,1.799874
