net,length_um
net179,140.84µm
data_reg\[0\]\[14\],140.56µm
clknet_leaf_22_clk,140.2µm
_1308_,140.185µm
net240,139.34µm
net16,139.32µm
_0421_,138.36µm
net155,137.995µm
net409,137.88µm
_1910_,137.7µm
_0578_,137.69µm
net266,137.115µm
_1346_,137.035µm
net264,136.94µm
net391,136.69µm
_0932_,135.3µm
_1919_,134.97µm
_0855_,134.73µm
net311,134.4µm
net89,134.24µm
accum_reg\[28\],133.54µm
net126,133.22µm
_2856_,132.98µm
clknet_leaf_29_clk,132.96µm
net17,132.6µm
_2507_,132.32µm
net188,131.42µm
net488,131.2µm
net66,131.18µm
net759,130.78µm
net354,130.39µm
_0385_,129.98µm
_2978_,129.74µm
net130,129.62µm
net356,129.55µm
_0381_,129.43µm
net270,129.06µm
_2766_,128.77µm
_1652_,128.32µm
net11,128.06µm
_0746_,127.885µm
_2807_,127.8µm
_1486_,126.975µm
data_reg\[1\]\[11\],126.82µm
_0605_,126.78µm
tap_cnt\[2\],126.73µm
_0599_,125.76µm
_0652_,125.75µm
_3239_,125.66µm
net71,124.6µm
_2451_,124.58µm
clknet_leaf_35_clk,124.5µm
net279,124.29µm
net86,123.16µm
net436,123.16µm
net654,122.72µm
clknet_leaf_23_clk,122.32µm
_3925_,122.26µm
_4022_,121.5µm
_3019_,121.24µm
net211,121.1µm
net88,121.08µm
net288,120.6µm
net245,120.52µm
_1859_,120.14µm
data_reg\[0\]\[12\],120.12µm
net109,120.1µm
_1381_,120.08µm
net487,120.08µm
net97,120.06µm
_1488_,119.56µm
accum_reg\[30\],119.405µm
_3272_,119.38µm
net3,119.24µm
net1166,119.02µm
_2306_,118.74µm
net596,118.6µm
net200,118.265µm
_3210_,117.72µm
net285,117.46µm
net515,116.97µm
net141,116.58µm
_3260_,116.4µm
_2919_,116.24µm
clknet_leaf_11_clk,116.13µm
_0512_,115.92µm
_1439_,115.89µm
net310,115.88µm
_0974_,115.875µm
_0846_,115.7µm
_0497_,115.31µm
_2894_,115.3µm
_3038_,115.24µm
_1452_,115.16µm
_0392_,114.86µm
_2210_,114.8µm
net207,114.8µm
net173,114.615µm
_4216_,114.58µm
net330,113.84µm
net386,113.3µm
_1593_,113.28µm
_1619_,113.12µm
_0389_,113.04µm
_1021_,112.72µm
_2432_,112µm
net142,111.9µm
net198,111.89µm
net609,111.84µm
net303,111.7µm
net862,111.67µm
accum_reg\[31\],111.27µm
net357,111.07µm
_1393_,110.88µm
_0732_,110.82µm
_1279_,110.7µm
net344,110.7µm
_1664_,110.19µm
clknet_leaf_20_clk,110.04µm
clknet_leaf_3_clk,110µm
net123,109.72µm
net277,109.72µm
net84,109.595µm
data_reg\[1\]\[0\],109.13µm
net60,109.08µm
_0404_,108.98µm
_2548_,108.72µm
net129,108.72µm
_0778_,108.58µm
net761,108.34µm
clknet_leaf_24_clk,108.18µm
_3414_,108.16µm
_2431_,107.9µm
_0476_,107.82µm
_3979_,107.8µm
_4092_,107.765µm
net208,107.72µm
clknet_leaf_7_clk,107.62µm
accum_reg\[20\],107.6µm
clknet_leaf_28_clk,107.58µm
net384,107.45µm
clknet_leaf_13_clk,107.26µm
_1278_,106.92µm
_1783_,106.62µm
net295,106.32µm
_0359_,106.18µm
net547,106.14µm
clknet_leaf_8_clk,106µm
_4111_,104.87µm
clknet_leaf_1_clk,104.82µm
net408,104.73µm
_2679_,104.695µm
accum_reg\[33\],104.44µm
net854,104.31µm
clknet_leaf_6_clk,103.9µm
net254,103.72µm
net175,103.54µm
net210,103.46µm
clknet_leaf_25_clk,103.38µm
_0707_,103.34µm
_2065_,103.3µm
_2045_,103.28µm
net327,102.82µm
net338,102.8µm
_0434_,102.1µm
net104,101.88µm
_0638_,101.36µm
clknet_leaf_26_clk,101.3µm
_2209_,101.08µm
net166,101.04µm
net572,101µm
_2185_,100.56µm
net170,100.55µm
_3365_,100.5µm
_0753_,100.47µm
_3010_,100.46µm
net215,100.44µm
_3193_,100.38µm
_0413_,100.15µm
clknet_leaf_10_clk,100.1µm
net455,99.99µm
net382,99.92µm
_3865_,99.82µm
net68,99.76µm
net299,99.11µm
_3380_,98.84µm
net137,98.72µm
net10,98.56µm
accum_reg\[11\],98.54µm
_0395_,98.48µm
net587,98.38µm
net187,98.25µm
clknet_leaf_15_clk,97.98µm
net118,97.94µm
_0557_,97.88µm
_2683_,97.82µm
net189,97.77µm
_0730_,97.68µm
_3783_,97.56µm
net399,97.5µm
net655,97.4µm
_3782_,97.38µm
_2635_,97.22µm
_0963_,97.115µm
_2796_,96.66µm
clknet_leaf_2_clk,96.62µm
accum_reg\[12\],96.26µm
tap_cnt\[0\],96.26µm
clknet_leaf_19_clk,96.02µm
_0357_,95.97µm
net248,95.845µm
_1248_,95.68µm
_1842_,95.52µm
_2183_,95.36µm
net250,95.265µm
net506,95.235µm
net136,95.22µm
clknet_leaf_30_clk,94.98µm
_3251_,94.785µm
_0440_,94.54µm
_2974_,94.42µm
net333,94.16µm
_0779_,94.09µm
_3037_,93.94µm
net57,93.925µm
_1197_,93.72µm
net2,93.6µm
_3141_,93.54µm
net158,93.16µm
net364,92.84µm
data_reg\[1\]\[9\],92.8µm
_2681_,92.76µm
net199,92.6µm
net121,92.58µm
net413,92.47µm
_3116_,92.27µm
net317,92.195µm
_0784_,91.985µm
net116,91.8µm
net9,91.32µm
_3073_,90.96µm
_1024_,90.94µm
_0346_,90.66µm
clknet_leaf_0_clk,90.4µm
clknet_leaf_21_clk,90.36µm
_0906_,90.26µm
net157,89.92µm
clknet_leaf_9_clk,89.86µm
net242,89.63µm
_1967_,89.6µm
_3130_,89.52µm
_1386_,89.515µm
_0749_,89.44µm
net58,89.44µm
clknet_leaf_5_clk,89.42µm
net274,89.4µm
net77,89.38µm
net81,89.32µm
_2182_,89.28µm
net323,89.26µm
clknet_leaf_27_clk,89.22µm
_0471_,89.2µm
_1030_,89.13µm
net348,89.06µm
_0518_,88.78µm
_2245_,88.61µm
net319,88.48µm
net305,88.355µm
net398,88.15µm
net259,87.84µm
clknet_leaf_17_clk,87.78µm
net85,87.76µm
_1974_,87.5µm
net111,87.46µm
_3616_,87.305µm
_1190_,87.24µm
net394,87.16µm
_0427_,87.14µm
_1085_,87.14µm
_3231_,87.1µm
net72,87.08µm
net87,87.08µm
net119,87.08µm
net99,86.98µm
accum_reg\[14\],86.895µm
clknet_leaf_4_clk,86.82µm
net190,86.585µm
net371,86.5µm
_2560_,86.44µm
net143,86.4µm
_0500_,86.38µm
accum_reg\[1\],86.16µm
_3348_,86.14µm
tap_cnt\[3\],86.1µm
_1288_,86.08µm
net340,86.08µm
_3063_,86.07µm
_3494_,86.02µm
clknet_leaf_14_clk,85.72µm
_3098_,85.62µm
net351,85.62µm
_0687_,85.54µm
_2566_,85.54µm
_0360_,85.41µm
_1581_,85.3µm
_0533_,85.02µm
net367,85.01µm
clknet_leaf_16_clk,84.98µm
net358,84.88µm
tap_cnt\[4\],84.84µm
net55,84.68µm
net131,84.6µm
net930,84.42µm
data_reg\[1\]\[8\],84.33µm
_1281_,84.155µm
_3900_,84.08µm
_3523_,84.015µm
_1047_,83.73µm
net145,83.66µm
_0501_,83.63µm
clknet_leaf_12_clk,83.44µm
net387,83.21µm
_1899_,83.14µm
_3897_,83.14µm
_1498_,83.04µm
_2984_,83.04µm
net307,83.04µm
_1245_,82.96µm
clknet_leaf_37_clk,82.96µm
_1388_,82.87µm
_0550_,82.76µm
net160,82.76µm
_1268_,82.62µm
net458,82.58µm
net112,82.555µm
_0477_,82.415µm
_0454_,82.4µm
_1344_,82.34µm
_3780_,82.15µm
_0523_,81.9µm
net359,81.88µm
data_reg\[1\]\[5\],81.74µm
net5,81.5µm
_3873_,81.38µm
clknet_leaf_32_clk,81.36µm
net332,81.3µm
net202,81.2µm
net204,81.07µm
data_reg\[1\]\[3\],80.9µm
_0439_,80.66µm
net300,80.57µm
_3086_,80.34µm
_3982_,80.26µm
net416,79.86µm
_0438_,79.64µm
net291,79.62µm
net214,79.54µm
net396,79.48µm
_2674_,79.335µm
net18,79.3µm
net400,79.3µm
_1653_,79.14µm
_3566_,79.09µm
_1270_,78.98µm
net12,78.88µm
_0690_,78.69µm
_3220_,78.53µm
net302,78.38µm
net42,78.08µm
net209,78.02µm
net64,78.005µm
_3573_,77.975µm
net428,77.96µm
_1261_,77.87µm
_0495_,77.82µm
net7,77.8µm
_1913_,77.74µm
_1177_,77.68µm
_1620_,77.48µm
net372,77.28µm
net403,77.26µm
_2920_,77.04µm
net406,76.94µm
_3678_,76.8µm
_4083_,76.74µm
net293,76.66µm
net345,76.59µm
net290,76.26µm
net379,76.18µm
net326,76.13µm
net370,76.11µm
net349,76.1µm
_3350_,76µm
_0716_,75.74µm
_1897_,75.7µm
_0883_,75.52µm
_0997_,75.52µm
_1345_,75.395µm
net600,75.34µm
_0544_,75.28µm
net278,75.26µm
_1149_,75.04µm
_2876_,74.96µm
accum_reg\[10\],74.96µm
_2062_,74.82µm
net203,74.62µm
_0688_,74.26µm
net342,74.07µm
_1931_,73.94µm
_3101_,73.56µm
net495,73.46µm
net287,73.32µm
net414,73.27µm
net106,73.18µm
net280,73.12µm
net361,73.02µm
accum_reg\[34\],73µm
net390,72.88µm
net376,72.83µm
_2671_,72.54µm
net383,72.3µm
_0677_,72.26µm
_3646_,72.04µm
_3728_,71.9µm
net162,71.76µm
_3122_,71.72µm
_4331_,71.54µm
net78,71.5µm
net368,71.48µm
_2404_,71.44µm
_2145_,71.045µm
net275,70.995µm
_2791_,70.26µm
net378,70.26µm
_2618_,70.24µm
_0437_,70.06µm
_0643_,70.02µm
net197,69.98µm
_2728_,69.81µm
_4332_,69.6µm
net151,69.395µm
_2267_,69.28µm
_2729_,69.28µm
_0898_,69.24µm
net363,68.945µm
_1044_,68.84µm
net900,68.74µm
_2969_,68.7µm
net308,68.7µm
_4109_,68.58µm
_3912_,68.49µm
net283,68.44µm
_3051_,68.38µm
_0757_,68.36µm
