net,length_um
_1811_,35.74µm
_3682_,35.64µm
_2814_,35.61µm
_0912_,35.56µm
_2582_,35.555µm
_0742_,35.46µm
_2808_,35.46µm
net426,35.4µm
_3184_,35.34µm
data_reg\[1\]\[15\],35.32µm
_1120_,35.3µm
data_reg\[4\]\[10\],35.26µm
data_reg\[13\]\[14\],35.22µm
_1965_,35.18µm
_3157_,35.16µm
net82,35.14µm
_2576_,35.12µm
data_reg\[8\]\[1\],35.04µm
_0570_,35.015µm
net92,34.9µm
net567,34.9µm
_2519_,34.88µm
accum_reg\[2\],34.88µm
data_reg\[9\]\[8\],34.8µm
_1872_,34.76µm
_2265_,34.76µm
_3267_,34.73µm
net780,34.7µm
_1634_,34.64µm
data_reg\[3\]\[2\],34.56µm
_3332_,34.46µm
net1226,34.46µm
_3660_,34.38µm
net22,34.36µm
_2534_,34.34µm
net1223,34.34µm
_1023_,34.28µm
_0609_,34.18µm
_2726_,34.14µm
_2169_,34.06µm
_1549_,33.96µm
net337,33.88µm
data_reg\[2\]\[7\],33.86µm
_2427_,33.82µm
_3821_,33.74µm
data_reg\[0\]\[3\],33.64µm
data_reg\[2\]\[9\],33.64µm
_1379_,33.58µm
net571,33.57µm
data_reg\[0\]\[1\],33.545µm
_2004_,33.54µm
_0679_,33.52µm
_1000_,33.52µm
_3480_,33.52µm
net586,33.38µm
net530,33.365µm
_3941_,33.36µm
_2577_,33.34µm
_0782_,33.3µm
_3745_,33.26µm
data_reg\[2\]\[2\],33.26µm
data_reg\[15\]\[12\],33.24µm
_0956_,33.235µm
_1991_,33.18µm
_3216_,33.165µm
_0853_,33.13µm
data_reg\[2\]\[4\],33.12µm
_0901_,33.065µm
net91,33µm
_0788_,32.96µm
_1365_,32.92µm
_2102_,32.88µm
_3854_,32.8µm
_3206_,32.7µm
_0967_,32.64µm
_1059_,32.64µm
_1069_,32.62µm
_2890_,32.62µm
data_reg\[14\]\[3\],32.6µm
_2821_,32.56µm
_1427_,32.5µm
_0710_,32.42µm
_0961_,32.42µm
_3199_,32.42µm
_3548_,32.42µm
_2111_,32.385µm
_2817_,32.38µm
_0520_,32.36µm
_0531_,32.34µm
_4502_,32.34µm
data_reg\[12\]\[3\],32.32µm
_2823_,32.305µm
_0945_,32.28µm
_2389_,32.24µm
data_reg\[6\]\[2\],32.22µm
_0990_,32.18µm
_2064_,32.16µm
_2354_,32.015µm
data_reg\[13\]\[11\],32µm
_0814_,31.955µm
accum_reg\[7\],31.94µm
data_reg\[4\]\[2\],31.92µm
data_reg\[5\]\[15\],31.9µm
data_reg\[7\]\[12\],31.82µm
data_reg\[3\]\[15\],31.8µm
data_reg\[5\]\[13\],31.8µm
_2280_,31.79µm
_0410_,31.76µm
_2156_,31.68µm
data_reg\[8\]\[10\],31.66µm
_1905_,31.64µm
_2556_,31.64µm
net282,31.58µm
_0428_,31.54µm
_2790_,31.49µm
_0925_,31.48µm
_3262_,31.46µm
net778,31.44µm
net1236,31.42µm
_2537_,31.41µm
_2905_,31.4µm
net150,31.36µm
_3257_,31.28µm
_3213_,31.26µm
_3654_,31.26µm
_1230_,31.2µm
_3746_,31.12µm
_0548_,31.1µm
data_reg\[7\]\[13\],31.1µm
_1067_,31.02µm
clknet_leaf_38_clk,30.96µm
_0815_,30.9µm
_1938_,30.88µm
_0610_,30.87µm
_2073_,30.84µm
_3047_,30.82µm
_1191_,30.81µm
_0571_,30.78µm
_0798_,30.74µm
_2197_,30.72µm
_4070_,30.72µm
_3317_,30.61µm
_0839_,30.58µm
_3718_,30.58µm
_1730_,30.54µm
net466,30.5µm
_1207_,30.48µm
_0902_,30.36µm
_1123_,30.36µm
_3934_,30.36µm
_1904_,30.34µm
_3319_,30.34µm
net235,30.34µm
_0675_,30.32µm
_1001_,30.32µm
data_reg\[8\]\[13\],30.32µm
_3849_,30.315µm
data_reg\[6\]\[4\],30.3µm
_2533_,30.29µm
_3015_,30.2µm
_2742_,30.16µm
_3762_,30.14µm
data_reg\[5\]\[0\],30.14µm
_2320_,30.12µm
_3124_,30.1µm
net843,30.08µm
_3355_,30.06µm
_2622_,29.94µm
_0504_,29.9µm
_0590_,29.88µm
net424,29.88µm
_2273_,29.87µm
_1074_,29.84µm
_1093_,29.78µm
_2794_,29.78µm
data_reg\[11\]\[12\],29.74µm
_3072_,29.725µm
_0402_,29.72µm
data_reg\[16\]\[10\],29.72µm
data_reg\[11\]\[13\],29.7µm
_0891_,29.66µm
_2704_,29.66µm
_2291_,29.62µm
_1036_,29.6µm
_3650_,29.54µm
_1476_,29.515µm
_0745_,29.48µm
_1817_,29.46µm
data_reg\[0\]\[4\],29.425µm
_0215_,29.4µm
_3524_,29.38µm
net54,29.38µm
_1163_,29.36µm
net63,29.36µm
_0516_,29.28µm
data_reg\[6\]\[13\],29.26µm
_2477_,29.24µm
_4227_,29.22µm
_1017_,29.08µm
_1359_,29.055µm
_1061_,29.04µm
_2284_,29.02µm
data_reg\[8\]\[9\],29.02µm
_3924_,29µm
net594,29µm
net262,28.96µm
_1326_,28.935µm
_4063_,28.92µm
_1055_,28.88µm
_1513_,28.84µm
_2163_,28.84µm
net381,28.81µm
_1314_,28.78µm
_4066_,28.78µm
_1658_,28.74µm
_1298_,28.66µm
_1461_,28.66µm
_1924_,28.66µm
_3554_,28.66µm
data_reg\[10\]\[7\],28.56µm
data_reg\[15\]\[11\],28.52µm
data_reg\[0\]\[0\],28.5µm
_3699_,28.48µm
data_reg\[7\]\[1\],28.48µm
_2402_,28.46µm
net134,28.42µm
net70,28.38µm
_0887_,28.34µm
_2754_,28.32µm
_3662_,28.32µm
_2026_,28.31µm
_1715_,28.29µm
_0878_,28.27µm
_2584_,28.235µm
_2043_,28.22µm
_3386_,28.2µm
net528,28.18µm
_2108_,28.165µm
net395,28.14µm
_0970_,28.12µm
_2629_,28.12µm
_4124_,28.12µm
data_reg\[7\]\[14\],28.06µm
data_reg\[15\]\[4\],28.04µm
_2822_,28.02µm
data_reg\[0\]\[9\],28.02µm
_1166_,27.98µm
_3750_,27.97µm
_3717_,27.96µm
_3753_,27.96µm
_1725_,27.94µm
_2696_,27.9µm
_2462_,27.88µm
data_reg\[7\]\[15\],27.82µm
_3734_,27.8µm
_1572_,27.78µm
_1354_,27.77µm
_4057_,27.76µm
_1378_,27.74µm
_2675_,27.74µm
_1608_,27.6µm
data_reg\[9\]\[13\],27.58µm
net1027,27.48µm
_1775_,27.44µm
_4148_,27.34µm
net249,27.24µm
_1157_,27.22µm
_3048_,27.22µm
_3775_,27.17µm
_3435_,27.13µm
_2309_,27.08µm
_1150_,27.075µm
net979,27.06µm
_0913_,27.02µm
_2555_,27.02µm
_4133_,26.99µm
_1779_,26.97µm
_4020_,26.94µm
net525,26.92µm
_2446_,26.91µm
_0930_,26.9µm
_3942_,26.9µm
_1217_,26.88µm
net429,26.86µm
_2594_,26.84µm
_2987_,26.8µm
_3744_,26.78µm
_1056_,26.74µm
data_reg\[7\]\[4\],26.72µm
data_reg\[15\]\[10\],26.7µm
_3134_,26.69µm
_0919_,26.68µm
_3695_,26.66µm
_2058_,26.64µm
_2494_,26.64µm
_3787_,26.64µm
data_reg\[12\]\[0\],26.625µm
_3167_,26.6µm
net947,26.56µm
_3455_,26.55µm
_0715_,26.48µm
_1468_,26.44µm
data_reg\[9\]\[10\],26.44µm
_3694_,26.4µm
_1830_,26.36µm
data_reg\[12\]\[15\],26.34µm
net360,26.28µm
net452,26.28µm
_1479_,26.2µm
net478,26.2µm
_2642_,26.18µm
net679,26.16µm
_0408_,26.1µm
_0640_,26.1µm
_2151_,26.1µm
net227,26.1µm
_1621_,26.08µm
_3766_,26µm
data_reg\[2\]\[5\],25.99µm
_1526_,25.98µm
_1465_,25.94µm
_3931_,25.94µm
_3553_,25.9µm
_1885_,25.845µm
net253,25.84µm
data_reg\[15\]\[2\],25.83µm
_4506_,25.82µm
_2269_,25.8µm
_3674_,25.8µm
net467,25.78µm
_1732_,25.76µm
_0983_,25.74µm
_2705_,25.74µm
_2702_,25.73µm
_1717_,25.72µm
_1436_,25.7µm
_1680_,25.68µm
_2614_,25.68µm
_3584_,25.68µm
_4040_,25.68µm
_2947_,25.64µm
_2396_,25.63µm
_1766_,25.54µm
_2793_,25.54µm
_0681_,25.52µm
_0835_,25.52µm
data_reg\[9\]\[0\],25.52µm
data_reg\[5\]\[9\],25.46µm
data_reg\[7\]\[0\],25.44µm
_1918_,25.38µm
_1082_,25.36µm
_3743_,25.36µm
_2663_,25.3µm
_1471_,25.28µm
data_reg\[2\]\[11\],25.28µm
_2288_,25.2µm
_2862_,25.18µm
_1483_,25.16µm
_1219_,25.14µm
_3162_,25.1µm
_3140_,25.02µm
_4058_,25.02µm
_2751_,24.96µm
data_reg\[13\]\[12\],24.96µm
_1548_,24.92µm
_1956_,24.92µm
_2908_,24.92µm
_1869_,24.89µm
_1569_,24.86µm
_1312_,24.84µm
data_reg\[14\]\[5\],24.82µm
net115,24.82µm
_0935_,24.8µm
_1764_,24.8µm
_1853_,24.8µm
data_reg\[1\]\[13\],24.8µm
_0872_,24.76µm
data_reg\[6\]\[3\],24.75µm
_1480_,24.74µm
_4086_,24.72µm
data_reg\[10\]\[2\],24.72µm
net444,24.72µm
_2059_,24.7µm
_0388_,24.68µm
data_reg\[14\]\[0\],24.64µm
data_reg\[9\]\[6\],24.64µm
_3866_,24.62µm
_3083_,24.6µm
_1052_,24.56µm
net503,24.56µm
_2811_,24.52µm
_4407_,24.5µm
_0790_,24.46µm
_0836_,24.45µm
net848,24.42µm
_2160_,24.38µm
_4005_,24.38µm
_2037_,24.37µm
_2243_,24.36µm
_3381_,24.36µm
_1622_,24.33µm
_2162_,24.32µm
_2906_,24.3µm
data_reg\[12\]\[5\],24.28µm
_2414_,24.225µm
_2315_,24.2µm
_2688_,24.2µm
_0484_,24.18µm
_1155_,24.18µm
_2836_,24.18µm
_3518_,24.18µm
net1250,24.18µm
_1836_,24.14µm
_0617_,24.12µm
_1796_,24.12µm
_4505_,24.12µm
_1194_,24.08µm
_1816_,24.06µm
result_out[15],24.04µm
_1202_,24.02µm
net611,24µm
data_reg\[6\]\[15\],23.98µm
net75,23.98µm
_2417_,23.96µm
data_reg\[2\]\[1\],23.92µm
_3576_,23.9µm
_1521_,23.88µm
_1785_,23.88µm
_3622_,23.88µm
_1868_,23.84µm
_1998_,23.805µm
_2873_,23.8µm
_2161_,23.76µm
_1745_,23.745µm
_3241_,23.745µm
net1009,23.74µm
_2221_,23.72µm
_3372_,23.71µm
_1470_,23.7µm
_2904_,23.7µm
_0426_,23.68µm
net1247,23.68µm
_0810_,23.64µm
_2753_,23.6µm
data_reg\[13\]\[15\],23.6µm
data_reg\[9\]\[7\],23.6µm
_2504_,23.56µm
result_out[11],23.54µm
_0641_,23.52µm
_0973_,23.52µm
_1474_,23.52µm
_0596_,23.46µm
data_reg\[4\]\[0\],23.44µm
_1499_,23.34µm
_1517_,23.32µm
net320,23.32µm
data_reg\[13\]\[13\],23.3µm
_1442_,23.24µm
net462,23.18µm
net1145,23.16µm
net1186,23.1µm
_4116_,23.08µm
net926,23.08µm
_0908_,23.06µm
_2012_,23.06µm
_1310_,23.04µm
_3390_,23.04µm
net1102,22.98µm
_0522_,22.96µm
_3228_,22.96µm
_3599_,22.96µm
_2099_,22.92µm
_2709_,22.9µm
_4007_,22.9µm
data_reg\[1\]\[4\],22.9µm
_2838_,22.895µm
_1617_,22.89µm
data_reg\[16\]\[6\],22.84µm
_0662_,22.8µm
_2193_,22.8µm
_2672_,22.8µm
_2172_,22.78µm
_3214_,22.76µm
data_reg\[10\]\[1\],22.73µm
_2633_,22.72µm
_2069_,22.7µm
_2526_,22.7µm
net653,22.65µm
_1143_,22.64µm
_3125_,22.62µm
_3857_,22.62µm
data_reg\[15\]\[7\],22.6µm
_1544_,22.58µm
net964,22.54µm
_0760_,22.46µm
_2783_,22.455µm
_2468_,22.44µm
net946,22.44µm
_4334_,22.4µm
net440,22.38µm
_3977_,22.34µm
_0594_,22.285µm
_0654_,22.28µm
_4167_,22.27µm
_2216_,22.26µm
_2278_,22.24µm
_4171_,22.22µm
_3719_,22.2µm
data_reg\[7\]\[8\],22.18µm
_1700_,22.16µm
_4153_,22.16µm
_2140_,22.14µm
result_out[1],22.115µm
data_reg\[13\]\[9\],22.08µm
net553,22.08µm
net4,22.06µm
_1576_,22.05µm
_0577_,22.04µm
_0828_,22.04µm
_2100_,22.04µm
_2706_,22µm
_2244_,21.99µm
net474,21.99µm
_2539_,21.88µm
_3182_,21.88µm
_1403_,21.86µm
_0727_,21.84µm
_2843_,21.82µm
_3477_,21.81µm
_0534_,21.8µm
_2428_,21.8µm
data_reg\[9\]\[11\],21.78µm
_2094_,21.74µm
_3713_,21.74µm
_2641_,21.7µm
net558,21.7µm
_0655_,21.68µm
_3276_,21.68µm
_2017_,21.66µm
_3357_,21.655µm
net552,21.64µm
_2174_,21.62µm
net839,21.62µm
_1675_,21.6µm
net49,21.6µm
_1818_,21.585µm
net998,21.58µm
_3092_,21.54µm
data_reg\[3\]\[10\],21.54µm
_0431_,21.52µm
_3939_,21.5µm
net491,21.5µm
_3079_,21.48µm
net1190,21.46µm
_3830_,21.44µm
_2223_,21.42µm
_2773_,21.4µm
_3964_,21.4µm
_4510_,21.38µm
data_reg\[4\]\[12\],21.38µm
net1055,21.38µm
_3123_,21.36µm
_3822_,21.36µm
_3799_,21.34µm
net774,21.34µm
data_reg\[3\]\[9\],21.32µm
_2786_,21.28µm
_4087_,21.275µm
_1297_,21.24µm
_1370_,21.24µm
data_reg\[8\]\[3\],21.24µm
_2040_,21.22µm
_2199_,21.2µm
_4125_,21.2µm
_3754_,21.17µm
_1625_,21.16µm
_2025_,21.14µm
_2038_,21.14µm
_2997_,21.12µm
net513,21.12µm
_2106_,21.1µm
_3501_,21.08µm
_1639_,21.06µm
data_reg\[8\]\[14\],21.02µm
_2228_,20.98µm
data_reg\[12\]\[6\],20.98µm
net865,20.98µm
_2149_,20.96µm
_3326_,20.94µm
_1845_,20.92µm
data_reg\[11\]\[11\],20.92µm
_2479_,20.89µm
_3792_,20.88µm
net681,20.86µm
_1988_,20.84µm
_2752_,20.84µm
_2787_,20.83µm
_0893_,20.8µm
_4054_,20.8µm
_4152_,20.8µm
net346,20.8µm
_3196_,20.78µm
_3777_,20.78µm
_3961_,20.78µm
data_reg\[0\]\[8\],20.74µm
_1609_,20.72µm
data_reg\[4\]\[9\],20.72µm
_1033_,20.7µm
_2164_,20.7µm
net468,20.7µm
_4508_,20.68µm
_2220_,20.66µm
_3112_,20.64µm
_1844_,20.62µm
_3438_,20.62µm
_2307_,20.58µm
net595,20.58µm
_1518_,20.57µm
_1757_,20.56µm
data_reg\[8\]\[15\],20.54µm
_4047_,20.52µm
_4071_,20.52µm
_0992_,20.48µm
_2022_,20.48µm
_3582_,20.48µm
_2845_,20.42µm
result_out[9],20.415µm
_0724_,20.36µm
_1094_,20.34µm
_1100_,20.34µm
net852,20.32µm
_1627_,20.3µm
_2871_,20.28µm
_2275_,20.24µm
_2957_,20.2µm
_1969_,20.16µm
_2418_,20.16µm
_0776_,20.115µm
_2138_,20.1µm
_4091_,20.1µm
_3132_,20.08µm
_3330_,20.08µm
data_reg\[6\]\[1\],20.08µm
_1134_,20.04µm
_3623_,20.04µm
net1240,20.04µm
data_reg\[9\]\[15\],19.96µm
net956,19.96µm
net34,19.9µm
_3245_,19.86µm
data_reg\[6\]\[14\],19.86µm
data_reg\[9\]\[4\],19.84µm
net1209,19.84µm
_2171_,19.82µm
net864,19.82µm
_1423_,19.8µm
data_reg\[2\]\[13\],19.8µm
_2107_,19.76µm
_2121_,19.76µm
_4053_,19.73µm
net1239,19.72µm
_0949_,19.7µm
_2303_,19.7µm
_3337_,19.7µm
net886,19.7µm
_1183_,19.695µm
data_reg\[11\]\[4\],19.68µm
_1063_,19.66µm
_1815_,19.66µm
_3163_,19.66µm
data_reg\[8\]\[2\],19.66µm
net847,19.64µm
_0692_,19.62µm
_2554_,19.62µm
net577,19.62µm
net910,19.6µm
_1756_,19.54µm
_1794_,19.52µm
net473,19.52µm
net934,19.52µm
_4038_,19.5µm
_2903_,19.485µm
_2114_,19.46µm
_1685_,19.44µm
_1782_,19.44µm
net362,19.42µm
_2412_,19.41µm
_2023_,19.4µm
_3354_,19.385µm
_0838_,19.375µm
_3424_,19.36µm
net1053,19.36µm
data_reg\[7\]\[11\],19.34µm
_1864_,19.32µm
net100,19.28µm
data_reg\[1\]\[14\],19.24µm
_2901_,19.22µm
_0986_,19.2µm
_2181_,19.16µm
_3031_,19.14µm
data_reg\[15\]\[13\],19.14µm
_3512_,19.13µm
_1097_,19.12µm
net908,19.12µm
_2373_,19.08µm
_3212_,19.08µm
net1041,19.08µm
_2266_,19.04µm
net578,19.04µm
_3615_,19µm
data_reg\[5\]\[12\],18.99µm
_1161_,18.98µm
_2733_,18.98µm
_3468_,18.98µm
net1244,18.98µm
_2450_,18.96µm
_3155_,18.94µm
net514,18.94µm
_2246_,18.92µm
net533,18.915µm
data_reg\[0\]\[7\],18.9µm
data_reg\[12\]\[8\],18.9µm
net392,18.9µm
net1044,18.9µm
net1150,18.9µm
_1463_,18.88µm
_1556_,18.88µm
_3535_,18.86µm
net1085,18.86µm
_1235_,18.84µm
_1607_,18.82µm
_3877_,18.82µm
_0412_,18.8µm
_1832_,18.78µm
net21,18.78µm
_2771_,18.76µm
_1814_,18.74µm
_2039_,18.74µm
_4166_,18.74µm
_2222_,18.7µm
_2318_,18.7µm
net827,18.68µm
_3516_,18.66µm
_0774_,18.63µm
_2041_,18.63µm
_2492_,18.62µm
_1182_,18.58µm
_2381_,18.58µm
_4511_,18.58µm
net1070,18.58µm
_1141_,18.54µm
data_reg\[4\]\[5\],18.54µm
data_reg\[16\]\[14\],18.52µm
_1507_,18.5µm
_3953_,18.5µm
_1957_,18.49µm
_1466_,18.48µm
_2213_,18.48µm
_2869_,18.46µm
net1083,18.46µm
_1159_,18.44µm
_1537_,18.44µm
_3443_,18.44µm
net261,18.44µm
_2063_,18.4µm
_3266_,18.4µm
_1293_,18.36µm
_1546_,18.36µm
data_reg\[11\]\[7\],18.36µm
data_reg\[8\]\[7\],18.36µm
net565,18.36µm
_0781_,18.325µm
_3841_,18.32µm
net543,18.32µm
_0588_,18.315µm
_3624_,18.3µm
sample_in[2],18.3µm
net1101,18.3µm
_2150_,18.28µm
_2739_,18.28µm
result_valid,18.28µm
_1888_,18.26µm
_0939_,18.24µm
_2353_,18.24µm
_2416_,18.22µm
_2047_,18.2µm
_2896_,18.2µm
_1402_,18.18µm
_2443_,18.175µm
_0759_,18.16µm
_1072_,18.16µm
_2884_,18.16µm
net451,18.16µm
_0584_,18.14µm
_1993_,18.14µm
data_reg\[10\]\[0\],18.14µm
_3012_,18.12µm
_1898_,18.09µm
data_reg\[11\]\[6\],18.08µm
_0805_,18.075µm
result_out[10],18.075µm
_4120_,18.06µm
data_reg\[11\]\[1\],18.06µm
net355,18.06µm
_2225_,18.04µm
_2759_,18.035µm
_2960_,18.02µm
net27,18.02µm
_3445_,18µm
_3858_,18µm
_3930_,18µm
data_reg\[7\]\[9\],18µm
_2196_,17.98µm
_2502_,17.98µm
data_reg\[2\]\[0\],17.98µm
_1727_,17.94µm
_4194_,17.94µm
net31,17.94µm
net876,17.94µm
_1616_,17.915µm
_0947_,17.91µm
_3305_,17.86µm
net581,17.84µm
_2226_,17.82µm
_3107_,17.82µm
_0580_,17.8µm
data_reg\[16\]\[7\],17.8µm
net1133,17.8µm
_1734_,17.74µm
_0400_,17.73µm
data_reg\[3\]\[4\],17.72µm
_2604_,17.7µm
_3479_,17.7µm
result_out[0],17.695µm
_1682_,17.68µm
data_reg\[3\]\[3\],17.68µm
_2891_,17.66µm
_2976_,17.66µm
net273,17.66µm
_3625_,17.64µm
_2448_,17.62µm
_4504_,17.62µm
net1014,17.62µm
_1996_,17.6µm
_3237_,17.6µm
data_reg\[13\]\[1\],17.58µm
_0917_,17.56µm
_2252_,17.56µm
_2317_,17.56µm
_3311_,17.56µm
net551,17.56µm
net835,17.56µm
net1010,17.56µm
_4340_,17.54µm
_1450_,17.48µm
_2929_,17.48µm
_0542_,17.46µm
data_reg\[5\]\[1\],17.46µm
_2349_,17.44µm
_3308_,17.44µm
_2961_,17.42µm
result_out[14],17.36µm
net680,17.36µm
_0541_,17.33µm
_3915_,17.32µm
_1236_,17.31µm
_3680_,17.3µm
_1545_,17.23µm
_3642_,17.21µm
_3215_,17.2µm
_4145_,17.2µm
data_reg\[10\]\[3\],17.2µm
data_reg\[10\]\[15\],17.14µm
data_reg\[9\]\[12\],17.14µm
_2148_,17.12µm
_1728_,17.1µm
net860,17.1µm
net1217,17.1µm
_1709_,17.08µm
_2909_,17.08µm
_1032_,17.06µm
_2540_,17.06µm
net608,17.04µm
_2525_,16.98µm
_3763_,16.96µm
_1497_,16.94µm
_2203_,16.94µm
_3090_,16.94µm
_3905_,16.94µm
_3972_,16.94µm
data_reg\[3\]\[8\],16.94µm
_2159_,16.9µm
_3704_,16.9µm
_1721_,16.86µm
_2049_,16.85µm
_3688_,16.84µm
net165,16.82µm
_3042_,16.78µm
_3869_,16.78µm
_2552_,16.77µm
_1624_,16.745µm
_0763_,16.74µm
_3643_,16.74µm
_0695_,16.72µm
_2259_,16.72µm
_3534_,16.705µm
result_out[12],16.675µm
_1693_,16.66µm
_2816_,16.64µm
_1834_,16.62µm
net1019,16.62µm
net1078,16.62µm
net939,16.6µm
_2931_,16.58µm
_3108_,16.57µm
_4048_,16.54µm
_3363_,16.52µm
_4503_,16.52µm
_1140_,16.48µm
_1263_,16.48µm
_2393_,16.48µm
data_reg\[8\]\[4\],16.465µm
_2079_,16.4µm
_2461_,16.4µm
_2718_,16.4µm
result_out[5],16.375µm
_1385_,16.355µm
_1075_,16.34µm
_1860_,16.34µm
result_out[4],16.335µm
_1070_,16.3µm
net1189,16.3µm
_1283_,16.26µm
_3009_,16.24µm
_3307_,16.24µm
_0503_,16.2µm
net1111,16.2µm
_1458_,16.18µm
_2311_,16.17µm
_2454_,16.16µm
_2999_,16.16µm
_0706_,16.14µm
_2330_,16.14µm
data_reg\[5\]\[6\],16.14µm
net523,16.14µm
_2413_,16.12µm
_3987_,16.1µm
data_reg\[13\]\[4\],16.1µm
_3067_,16.08µm
_3820_,16.07µm
_4139_,16.07µm
_3497_,16.06µm
data_reg\[16\]\[1\],16.06µm
data_reg\[4\]\[15\],16.06µm
_1087_,16.02µm
data_reg\[15\]\[5\],16.02µm
net48,16.02µm
_0601_,16µm
net825,16µm
_2593_,15.98µm
data_reg\[10\]\[10\],15.98µm
net430,15.98µm
_3929_,15.96µm
net1000,15.96µm
_0971_,15.94µm
_2173_,15.94µm
net1008,15.92µm
_1399_,15.9µm
_2887_,15.9µm
data_reg\[10\]\[6\],15.9µm
net1173,15.9µm
_3613_,15.88µm
_1802_,15.86µm
sample_in[3],15.84µm
sample_in[7],15.84µm
_0806_,15.83µm
_0656_,15.82µm
_3358_,15.82µm
_3483_,15.82µm
_0689_,15.8µm
net522,15.8µm
_1186_,15.76µm
net29,15.76µm
net937,15.76µm
_1712_,15.74µm
_1101_,15.72µm
_2952_,15.72µm
_3954_,15.72µm
data_reg\[13\]\[7\],15.72µm
data_reg\[8\]\[12\],15.72µm
net1074,15.72µm
_0880_,15.7µm
_1377_,15.7µm
_1478_,15.68µm
_1509_,15.68µm
_3462_,15.68µm
_4088_,15.68µm
net1033,15.66µm
_3053_,15.64µm
data_reg\[11\]\[10\],15.64µm
_1670_,15.6µm
_3150_,15.6µm
_2736_,15.58µm
_2348_,15.56µm
data_reg\[6\]\[5\],15.56µm
net983,15.56µm
_0451_,15.52µm
_1661_,15.52µm
_1813_,15.52µm
_0842_,15.5µm
data_reg\[10\]\[8\],15.5µm
net1035,15.5µm
_2142_,15.48µm
_2710_,15.48µm
_3201_,15.48µm
_1524_,15.46µm
_2130_,15.46µm
_1886_,15.45µm
net922,15.44µm
data_reg\[8\]\[0\],15.42µm
net1107,15.4µm
data_reg\[16\]\[4\],15.38µm
sample_in[6],15.38µm
_3271_,15.36µm
_3715_,15.36µm
_3758_,15.36µm
_3834_,15.36µm
_0728_,15.34µm
_2147_,15.34µm
_2170_,15.34µm
_3235_,15.34µm
data_reg\[4\]\[4\],15.34µm
_1640_,15.32µm
_3033_,15.3µm
net1005,15.28µm
_0822_,15.26µm
_1561_,15.26µm
_3664_,15.26µm
_0430_,15.24µm
_2420_,15.24µm
_3177_,15.24µm
_3495_,15.24µm
_4075_,15.24µm
_4146_,15.24µm
net24,15.24µm
_1291_,15.21µm
_2551_,15.2µm
_0600_,15.18µm
_1726_,15.18µm
net231,15.18µm
result_out[13],15.18µm
_1175_,15.16µm
_2457_,15.13µm
data_reg\[16\]\[13\],15.12µm
_2453_,15.115µm
_0736_,15.1µm
_4000_,15.1µm
sample_in[0],15.08µm
data_reg\[15\]\[1\],15.06µm
_1711_,15.02µm
_4234_,15.02µm
_4159_,15.005µm
_4442_,15µm
data_reg\[12\]\[4\],15µm
_3327_,14.98µm
data_reg\[3\]\[1\],14.98µm
net896,14.98µm
net1098,14.98µm
net1221,14.98µm
data_reg\[3\]\[6\],14.96µm
net33,14.96µm
_4014_,14.95µm
_4074_,14.945µm
_1827_,14.94µm
_3947_,14.94µm
_3310_,14.92µm
data_reg\[3\]\[11\],14.92µm
net831,14.92µm
result_out[8],14.915µm
_3269_,14.9µm
data_reg\[10\]\[4\],14.9µm
_1932_,14.86µm
net819,14.86µm
_0768_,14.84µm
_1276_,14.8µm
_2217_,14.8µm
_3903_,14.8µm
net940,14.8µm
_1737_,14.78µm
data_reg\[4\]\[7\],14.78µm
net1073,14.78µm
_2316_,14.76µm
_0718_,14.74µm
_3999_,14.72µm
net35,14.72µm
net1182,14.72µm
net914,14.7µm
_0991_,14.68µm
_3278_,14.68µm
_3569_,14.68µm
data_reg\[16\]\[3\],14.68µm
_2849_,14.66µm
_3864_,14.66µm
net1130,14.66µm
_2152_,14.655µm
_1295_,14.65µm
_2279_,14.64µm
_2483_,14.64µm
data_reg\[15\]\[3\],14.64µm
net872,14.62µm
_3570_,14.585µm
_2516_,14.56µm
_2585_,14.56µm
_1187_,14.54µm
_2902_,14.54µm
data_reg\[15\]\[9\],14.54µm
_2118_,14.52µm
_2553_,14.52µm
_2934_,14.52µm
_3460_,14.5µm
net826,14.5µm
net1054,14.5µm
_0723_,14.48µm
_1633_,14.48µm
net890,14.48µm
_2623_,14.46µm
net657,14.46µm
_0807_,14.44µm
_1557_,14.44µm
_2578_,14.44µm
_3749_,14.44µm
_3959_,14.44µm
_1212_,14.42µm
_2090_,14.42µm
data_reg\[12\]\[2\],14.42µm
_2514_,14.4µm
_3044_,14.4µm
_1635_,14.38µm
_2800_,14.38µm
_2503_,14.36µm
_3056_,14.34µm
_3344_,14.34µm
data_reg\[13\]\[0\],14.32µm
_2788_,14.305µm
_0931_,14.3µm
_1647_,14.3µm
_2024_,14.3µm
_2227_,14.3µm
net520,14.3µm
_1718_,14.28µm
_1337_,14.22µm
_1948_,14.22µm
net32,14.22µm
_2995_,14.18µm
_3771_,14.18µm
net935,14.18µm
_0597_,14.14µm
_1254_,14.14µm
_2136_,14.14µm
_3159_,14.14µm
_3472_,14.12µm
_0666_,14.1µm
_0861_,14.1µm
_2087_,14.1µm
_3290_,14.1µm
_3608_,14.1µm
_2286_,14.06µm
data_reg\[5\]\[14\],14.06µm
net928,14.06µm
_1092_,14.04µm
net477,14.04µm
net991,14.02µm
_3437_,14µm
_3484_,14µm
data_reg\[12\]\[11\],13.96µm
net1082,13.96µm
data_reg\[16\]\[12\],13.94µm
_3692_,13.92µm
_1199_,13.9µm
